estacion,fecha,valor,contaminante,localidad
KENNEDY,2021-02-07,21.41666667,PM25,Kennedy
KENNEDY,2021-02-06,25.58333333,PM25,Kennedy
KENNEDY,2021-02-05,20.75,PM25,Kennedy
KENNEDY,2021-02-04,25.64705882,PM25,Kennedy
KENNEDY,2021-02-03,22.57142857,PM25,Kennedy
KENNEDY,2021-02-02,19.04166667,PM25,Kennedy
KENNEDY,2021-02-01,16.4875,PM25,Kennedy
KENNEDY,2021-01-31,13.82608696,PM25,Kennedy
KENNEDY,2021-01-30,25.16666667,PM25,Kennedy
KENNEDY,2021-01-29,34.58333333,PM25,Kennedy
KENNEDY,2021-01-28,34.04166667,PM25,Kennedy
KENNEDY,2021-01-27,21.52380952,PM25,Kennedy
KENNEDY,2021-01-26,22.29166667,PM25,Kennedy
KENNEDY,2021-01-25,20.125,PM25,Kennedy
KENNEDY,2021-01-24,13.41666667,PM25,Kennedy
KENNEDY,2021-01-23,15.20833333,PM25,Kennedy
KENNEDY,2021-01-22,27.79166667,PM25,Kennedy
KENNEDY,2021-01-21,29.58333333,PM25,Kennedy
KENNEDY,2021-01-20,26.29166667,PM25,Kennedy
KENNEDY,2021-01-19,32.79166667,PM25,Kennedy
KENNEDY,2021-01-18,28.75,PM25,Kennedy
KENNEDY,2021-01-17,23.66666667,PM25,Kennedy
KENNEDY,2021-01-16,27.91666667,PM25,Kennedy
KENNEDY,2021-01-15,32.86956522,PM25,Kennedy
KENNEDY,2021-01-14,29.45833333,PM25,Kennedy
KENNEDY,2021-01-13,23.375,PM25,Kennedy
KENNEDY,2021-01-12,9.625,PM25,Kennedy
KENNEDY,2021-01-11,6.04545455,PM25,Kennedy
KENNEDY,2021-01-10,8.56521739,PM25,Kennedy
KENNEDY,2021-01-09,10.41666667,PM25,Kennedy
KENNEDY,2021-01-08,25.0,PM25,Kennedy
KENNEDY,2021-01-07,20.625,PM25,Kennedy
KENNEDY,2021-01-06,23.79166667,PM25,Kennedy
KENNEDY,2021-01-05,27.65217391,PM25,Kennedy
KENNEDY,2021-01-04,17.58333333,PM25,Kennedy
KENNEDY,2021-01-03,7.39130435,PM25,Kennedy
KENNEDY,2021-01-02,12.95652174,PM25,Kennedy
KENNEDY,2021-01-01,23.81818182,PM25,Kennedy
KENNEDY,2020-12-31,39.04347826,PM25,Kennedy
KENNEDY,2020-12-30,27.5,PM25,Kennedy
KENNEDY,2020-12-29,24.04166667,PM25,Kennedy
KENNEDY,2020-12-28,24.25,PM25,Kennedy
KENNEDY,2020-12-27,14.91666667,PM25,Kennedy
KENNEDY,2020-12-26,14.16666667,PM25,Kennedy
KENNEDY,2020-12-25,23.95833333,PM25,Kennedy
KENNEDY,2020-12-24,23.16666667,PM25,Kennedy
KENNEDY,2020-12-23,42.04166667,PM25,Kennedy
KENNEDY,2020-12-22,30.625,PM25,Kennedy
KENNEDY,2020-12-21,28.36363636,PM25,Kennedy
KENNEDY,2020-12-20,13.04166667,PM25,Kennedy
KENNEDY,2020-12-19,25.29166667,PM25,Kennedy
KENNEDY,2020-12-18,26.56521739,PM25,Kennedy
KENNEDY,2020-12-17,19.33333333,PM25,Kennedy
KENNEDY,2020-12-16,19.08333333,PM25,Kennedy
KENNEDY,2020-12-15,28.08695652,PM25,Kennedy
KENNEDY,2020-12-14,21.04347826,PM25,Kennedy
KENNEDY,2020-12-13,15.91666667,PM25,Kennedy
KENNEDY,2020-12-12,29.375,PM25,Kennedy
KENNEDY,2020-12-11,36.95833333,PM25,Kennedy
KENNEDY,2020-12-10,42.45833333,PM25,Kennedy
KENNEDY,2020-12-09,33.08333333,PM25,Kennedy
KENNEDY,2020-12-08,36.70833333,PM25,Kennedy
KENNEDY,2020-12-07,38.0,PM25,Kennedy
KENNEDY,2020-12-06,14.29166667,PM25,Kennedy
KENNEDY,2020-12-05,24.91666667,PM25,Kennedy
KENNEDY,2020-12-04,30.95833333,PM25,Kennedy
KENNEDY,2020-12-03,19.59090909,PM25,Kennedy
KENNEDY,2020-12-02,16.58333333,PM25,Kennedy
KENNEDY,2020-12-01,22.375,PM25,Kennedy
KENNEDY,2020-11-30,22.04347826,PM25,Kennedy
KENNEDY,2020-11-29,11.91666667,PM25,Kennedy
KENNEDY,2020-11-28,24.65217391,PM25,Kennedy
KENNEDY,2020-11-27,24.20833333,PM25,Kennedy
KENNEDY,2020-11-26,33.875,PM25,Kennedy
KENNEDY,2020-11-25,24.5,PM25,Kennedy
KENNEDY,2020-11-24,34.45833333,PM25,Kennedy
KENNEDY,2020-11-23,32.33333333,PM25,Kennedy
KENNEDY,2020-11-22,27.29166667,PM25,Kennedy
KENNEDY,2020-11-21,26.08333333,PM25,Kennedy
KENNEDY,2020-11-20,30.82608696,PM25,Kennedy
KENNEDY,2020-11-19,22.58333333,PM25,Kennedy
KENNEDY,2020-11-18,17.25,PM25,Kennedy
KENNEDY,2020-11-17,15.56521739,PM25,Kennedy
KENNEDY,2020-11-16,12.81818182,PM25,Kennedy
KENNEDY,2020-11-15,24.73913043,PM25,Kennedy
KENNEDY,2020-11-14,28.0,PM25,Kennedy
KENNEDY,2020-11-13,18.375,PM25,Kennedy
KENNEDY,2020-11-12,26.66666667,PM25,Kennedy
KENNEDY,2020-11-11,16.89583333,PM25,Kennedy
KENNEDY,2020-11-10,28.41666667,PM25,Kennedy
KENNEDY,2020-11-09,19.58333333,PM25,Kennedy
KENNEDY,2020-11-08,22.625,PM25,Kennedy
KENNEDY,2020-11-07,24.91666667,PM25,Kennedy
KENNEDY,2020-11-06,33.91666667,PM25,Kennedy
KENNEDY,2020-11-05,23.39130435,PM25,Kennedy
KENNEDY,2020-11-04,26.125,PM25,Kennedy
KENNEDY,2020-11-03,25.95833333,PM25,Kennedy
KENNEDY,2020-11-02,19.33333333,PM25,Kennedy
KENNEDY,2020-11-01,14.08,PM25,Kennedy
KENNEDY,2020-10-31,18.60869565,PM25,Kennedy
KENNEDY,2020-10-30,17.04166667,PM25,Kennedy
KENNEDY,2020-10-29,21.04166667,PM25,Kennedy
KENNEDY,2020-10-28,18.54166667,PM25,Kennedy
KENNEDY,2020-10-27,22.79166667,PM25,Kennedy
KENNEDY,2020-10-26,34.625,PM25,Kennedy
KENNEDY,2020-10-25,28.125,PM25,Kennedy
KENNEDY,2020-10-24,18.375,PM25,Kennedy
KENNEDY,2020-10-23,15.79166667,PM25,Kennedy
KENNEDY,2020-10-22,12.875,PM25,Kennedy
KENNEDY,2020-10-21,13.875,PM25,Kennedy
KENNEDY,2020-10-20,23.04166667,PM25,Kennedy
KENNEDY,2020-10-19,14.39130435,PM25,Kennedy
KENNEDY,2020-10-18,13.54166667,PM25,Kennedy
KENNEDY,2020-10-17,15.91666667,PM25,Kennedy
KENNEDY,2020-10-16,14.33333333,PM25,Kennedy
KENNEDY,2020-10-15,20.26086957,PM25,Kennedy
KENNEDY,2020-10-14,23.83333333,PM25,Kennedy
KENNEDY,2020-10-13,10.30434783,PM25,Kennedy
KENNEDY,2020-10-12,12.0,PM25,Kennedy
KENNEDY,2020-10-11,13.83333333,PM25,Kennedy
KENNEDY,2020-10-10,17.95833333,PM25,Kennedy
KENNEDY,2020-10-09,15.0,PM25,Kennedy
KENNEDY,2020-10-08,12.125,PM25,Kennedy
KENNEDY,2020-10-07,22.375,PM25,Kennedy
KENNEDY,2020-10-06,22.39130435,PM25,Kennedy
KENNEDY,2020-10-05,15.5,PM25,Kennedy
KENNEDY,2020-10-04,8.83333333,PM25,Kennedy
KENNEDY,2020-10-03,17.70833333,PM25,Kennedy
KENNEDY,2020-10-02,28.125,PM25,Kennedy
KENNEDY,2020-10-01,15.91666667,PM25,Kennedy
KENNEDY,2020-09-30,14.0,PM25,Kennedy
KENNEDY,2020-09-29,14.95833333,PM25,Kennedy
KENNEDY,2020-09-28,20.08333333,PM25,Kennedy
KENNEDY,2020-09-27,19.45833333,PM25,Kennedy
KENNEDY,2020-09-26,23.25,PM25,Kennedy
KENNEDY,2020-09-25,15.70833333,PM25,Kennedy
KENNEDY,2020-09-24,11.9047619,PM25,Kennedy
KENNEDY,2020-09-23,15.52173913,PM25,Kennedy
KENNEDY,2020-09-22,21.17391304,PM25,Kennedy
KENNEDY,2020-09-21,14.69565217,PM25,Kennedy
KENNEDY,2020-09-20,9.22727273,PM25,Kennedy
KENNEDY,2020-09-19,18.34782609,PM25,Kennedy
KENNEDY,2020-09-18,25.08695652,PM25,Kennedy
KENNEDY,2020-09-17,26.91304348,PM25,Kennedy
KENNEDY,2020-09-16,19.25,PM25,Kennedy
KENNEDY,2020-09-15,26.17391304,PM25,Kennedy
KENNEDY,2020-09-14,23.75,PM25,Kennedy
KENNEDY,2020-09-13,12.78947368,PM25,Kennedy
KENNEDY,2020-09-12,22.75,PM25,Kennedy
KENNEDY,2020-09-11,25.56521739,PM25,Kennedy
KENNEDY,2020-09-10,20.70833333,PM25,Kennedy
KENNEDY,2020-09-09,25.625,PM25,Kennedy
KENNEDY,2020-09-08,16.70833333,PM25,Kennedy
KENNEDY,2020-09-07,24.29166667,PM25,Kennedy
KENNEDY,2020-09-06,9.45833333,PM25,Kennedy
KENNEDY,2020-09-05,11.79166667,PM25,Kennedy
KENNEDY,2020-09-04,12.04166667,PM25,Kennedy
KENNEDY,2020-09-03,16.875,PM25,Kennedy
KENNEDY,2020-09-02,12.43478261,PM25,Kennedy
KENNEDY,2020-09-01,18.70833333,PM25,Kennedy
KENNEDY,2020-08-31,23.17391304,PM25,Kennedy
KENNEDY,2020-08-30,12.29166667,PM25,Kennedy
KENNEDY,2020-08-29,27.625,PM25,Kennedy
KENNEDY,2020-08-28,17.0,PM25,Kennedy
KENNEDY,2020-08-27,14.04166667,PM25,Kennedy
KENNEDY,2020-08-26,24.29166667,PM25,Kennedy
KENNEDY,2020-08-25,21.45833333,PM25,Kennedy
KENNEDY,2020-08-24,16.66666667,PM25,Kennedy
KENNEDY,2020-08-23,18.5,PM25,Kennedy
KENNEDY,2020-08-22,11.52173913,PM25,Kennedy
KENNEDY,2020-08-21,14.66666667,PM25,Kennedy
KENNEDY,2020-08-20,23.125,PM25,Kennedy
KENNEDY,2020-08-19,24.45833333,PM25,Kennedy
KENNEDY,2020-08-18,29.41666667,PM25,Kennedy
KENNEDY,2020-08-17,22.79166667,PM25,Kennedy
KENNEDY,2020-08-16,13.375,PM25,Kennedy
KENNEDY,2020-08-15,19.17391304,PM25,Kennedy
KENNEDY,2020-08-14,12.33333333,PM25,Kennedy
KENNEDY,2020-08-13,16.39130435,PM25,Kennedy
KENNEDY,2020-08-12,18.54166667,PM25,Kennedy
KENNEDY,2020-08-11,21.91666667,PM25,Kennedy
KENNEDY,2020-08-10,12.7826087,PM25,Kennedy
KENNEDY,2020-08-09,9.04347826,PM25,Kennedy
KENNEDY,2020-08-08,8.47826087,PM25,Kennedy
KENNEDY,2020-08-07,10.225,PM25,Kennedy
KENNEDY,2020-08-06,10.29166667,PM25,Kennedy
KENNEDY,2020-08-05,11.79166667,PM25,Kennedy
KENNEDY,2020-08-04,9.17391304,PM25,Kennedy
KENNEDY,2020-08-03,13.375,PM25,Kennedy
KENNEDY,2020-08-02,10.41666667,PM25,Kennedy
KENNEDY,2020-08-01,12.73913043,PM25,Kennedy
KENNEDY,2020-07-31,13.69565217,PM25,Kennedy
KENNEDY,2020-07-30,13.52173913,PM25,Kennedy
KENNEDY,2020-07-29,16.5,PM25,Kennedy
KENNEDY,2020-07-28,16.13636364,PM25,Kennedy
KENNEDY,2020-07-27,14.625,PM25,Kennedy
KENNEDY,2020-07-26,11.04166667,PM25,Kennedy
KENNEDY,2020-07-25,16.41666667,PM25,Kennedy
KENNEDY,2020-07-24,17.00833333,PM25,Kennedy
KENNEDY,2020-07-23,20.66666667,PM25,Kennedy
KENNEDY,2020-07-22,28.20833333,PM25,Kennedy
KENNEDY,2020-07-21,18.04166667,PM25,Kennedy
KENNEDY,2020-07-20,7.69583333,PM25,Kennedy
KENNEDY,2020-07-19,12.05652174,PM25,Kennedy
KENNEDY,2020-07-18,14.66666667,PM25,Kennedy
KENNEDY,2020-07-17,15.125,PM25,Kennedy
KENNEDY,2020-07-16,14.125,PM25,Kennedy
KENNEDY,2020-07-15,13.86363636,PM25,Kennedy
KENNEDY,2020-07-14,11.83478261,PM25,Kennedy
KENNEDY,2020-07-13,14.91666667,PM25,Kennedy
KENNEDY,2020-07-12,19.66666667,PM25,Kennedy
KENNEDY,2020-07-11,19.68333333,PM25,Kennedy
KENNEDY,2020-07-10,20.54166667,PM25,Kennedy
KENNEDY,2020-07-09,16.75,PM25,Kennedy
KENNEDY,2020-07-08,18.08333333,PM25,Kennedy
KENNEDY,2020-07-07,17.66666667,PM25,Kennedy
KENNEDY,2020-07-06,16.35,PM25,Kennedy
KENNEDY,2020-07-05,19.33333333,PM25,Kennedy
KENNEDY,2020-07-04,12.91304348,PM25,Kennedy
KENNEDY,2020-07-03,23.125,PM25,Kennedy
KENNEDY,2020-07-02,16.45833333,PM25,Kennedy
KENNEDY,2020-07-01,23.04166667,PM25,Kennedy
KENNEDY,2020-06-30,22.23809524,PM25,Kennedy
KENNEDY,2020-06-29,9.875,PM25,Kennedy
KENNEDY,2020-06-28,13.5,PM25,Kennedy
KENNEDY,2020-06-27,16.66666667,PM25,Kennedy
KENNEDY,2020-06-26,15.0,PM25,Kennedy
KENNEDY,2020-06-25,29.875,PM25,Kennedy
KENNEDY,2020-06-24,35.7826087,PM25,Kennedy
KENNEDY,2020-06-23,16.29166667,PM25,Kennedy
KENNEDY,2020-06-22,9.29166667,PM25,Kennedy
KENNEDY,2020-06-21,6.86956522,PM25,Kennedy
KENNEDY,2020-06-20,11.75,PM25,Kennedy
KENNEDY,2020-06-19,16.52173913,PM25,Kennedy
KENNEDY,2020-06-18,29.40869565,PM25,Kennedy
KENNEDY,2020-06-17,15.375,PM25,Kennedy
KENNEDY,2020-06-16,14.375,PM25,Kennedy
KENNEDY,2020-06-15,4.95652174,PM25,Kennedy
KENNEDY,2020-06-14,7.29166667,PM25,Kennedy
KENNEDY,2020-06-13,17.95833333,PM25,Kennedy
KENNEDY,2020-06-12,15.60869565,PM25,Kennedy
KENNEDY,2020-06-11,18.54166667,PM25,Kennedy
KENNEDY,2020-06-10,14.29166667,PM25,Kennedy
KENNEDY,2020-06-09,14.20833333,PM25,Kennedy
KENNEDY,2020-06-08,14.25,PM25,Kennedy
KENNEDY,2020-06-07,8.52173913,PM25,Kennedy
KENNEDY,2020-06-06,11.45833333,PM25,Kennedy
KENNEDY,2020-06-05,8.04166667,PM25,Kennedy
KENNEDY,2020-06-04,10.25,PM25,Kennedy
KENNEDY,2020-06-03,17.66666667,PM25,Kennedy
KENNEDY,2020-06-02,19.08333333,PM25,Kennedy
KENNEDY,2020-06-01,11.79166667,PM25,Kennedy
KENNEDY,2020-05-31,11.52173913,PM25,Kennedy
KENNEDY,2020-05-30,19.08333333,PM25,Kennedy
KENNEDY,2020-05-29,16.30434783,PM25,Kennedy
KENNEDY,2020-05-28,16.08333333,PM25,Kennedy
KENNEDY,2020-05-27,8.43478261,PM25,Kennedy
KENNEDY,2020-05-26,8.375,PM25,Kennedy
KENNEDY,2020-05-25,8.08333333,PM25,Kennedy
KENNEDY,2020-05-24,10.13636364,PM25,Kennedy
KENNEDY,2020-05-23,10.73913043,PM25,Kennedy
KENNEDY,2020-05-22,13.25,PM25,Kennedy
KENNEDY,2020-05-21,10.95652174,PM25,Kennedy
KENNEDY,2020-05-20,17.29166667,PM25,Kennedy
KENNEDY,2020-05-19,15.33333333,PM25,Kennedy
KENNEDY,2020-05-18,9.66666667,PM25,Kennedy
KENNEDY,2020-05-17,4.61904762,PM25,Kennedy
KENNEDY,2020-05-16,7.6,PM25,Kennedy
KENNEDY,2020-05-15,15.52173913,PM25,Kennedy
KENNEDY,2020-05-14,28.875,PM25,Kennedy
KENNEDY,2020-05-13,23.125,PM25,Kennedy
KENNEDY,2020-05-12,18.5,PM25,Kennedy
KENNEDY,2020-05-11,14.95833333,PM25,Kennedy
KENNEDY,2020-05-10,7.83333333,PM25,Kennedy
KENNEDY,2020-05-09,8.19047619,PM25,Kennedy
KENNEDY,2020-05-08,12.41666667,PM25,Kennedy
KENNEDY,2020-05-07,10.36363636,PM25,Kennedy
KENNEDY,2020-05-06,14.375,PM25,Kennedy
KENNEDY,2020-05-05,9.95454545,PM25,Kennedy
KENNEDY,2020-05-04,14.5,PM25,Kennedy
KENNEDY,2020-05-03,11.83333333,PM25,Kennedy
KENNEDY,2020-05-02,17.33333333,PM25,Kennedy
KENNEDY,2020-05-01,9.73913043,PM25,Kennedy
KENNEDY,2020-04-30,23.60869565,PM25,Kennedy
KENNEDY,2020-04-29,24.45454545,PM25,Kennedy
KENNEDY,2020-04-28,24.91666667,PM25,Kennedy
KENNEDY,2020-04-27,22.60869565,PM25,Kennedy
KENNEDY,2020-04-26,16.875,PM25,Kennedy
KENNEDY,2020-04-25,20.08333333,PM25,Kennedy
KENNEDY,2020-04-24,21.0,PM25,Kennedy
KENNEDY,2020-04-23,9.85833333,PM25,Kennedy
KENNEDY,2020-04-22,14.23809524,PM25,Kennedy
KENNEDY,2020-04-21,17.79166667,PM25,Kennedy
KENNEDY,2020-04-20,17.30434783,PM25,Kennedy
KENNEDY,2020-04-19,24.125,PM25,Kennedy
KENNEDY,2020-04-18,36.08333333,PM25,Kennedy
KENNEDY,2020-04-17,39.95833333,PM25,Kennedy
KENNEDY,2020-04-16,36.18181818,PM25,Kennedy
KENNEDY,2020-04-15,26.95652174,PM25,Kennedy
KENNEDY,2020-04-14,17.5,PM25,Kennedy
KENNEDY,2020-04-13,22.43478261,PM25,Kennedy
KENNEDY,2020-04-12,12.75,PM25,Kennedy
KENNEDY,2020-04-11,8.95833333,PM25,Kennedy
KENNEDY,2020-04-10,8.68181818,PM25,Kennedy
KENNEDY,2020-04-09,10.625,PM25,Kennedy
KENNEDY,2020-04-08,14.04347826,PM25,Kennedy
KENNEDY,2020-04-07,9.36363636,PM25,Kennedy
KENNEDY,2020-04-06,11.45833333,PM25,Kennedy
KENNEDY,2020-04-05,9.0,PM25,Kennedy
KENNEDY,2020-04-04,9.95652174,PM25,Kennedy
KENNEDY,2020-04-03,17.70833333,PM25,Kennedy
KENNEDY,2020-04-02,12.40909091,PM25,Kennedy
KENNEDY,2020-04-01,19.45833333,PM25,Kennedy
KENNEDY,2020-03-31,28.18181818,PM25,Kennedy
KENNEDY,2020-03-30,48.625,PM25,Kennedy
KENNEDY,2020-03-29,49.91666667,PM25,Kennedy
KENNEDY,2020-03-28,42.17391304,PM25,Kennedy
KENNEDY,2020-03-27,43.375,PM25,Kennedy
KENNEDY,2020-03-26,34.5,PM25,Kennedy
KENNEDY,2020-03-25,35.0,PM25,Kennedy
KENNEDY,2020-03-24,44.125,PM25,Kennedy
KENNEDY,2020-03-23,41.08333333,PM25,Kennedy
KENNEDY,2020-03-22,27.79166667,PM25,Kennedy
KENNEDY,2020-03-21,31.83333333,PM25,Kennedy
KENNEDY,2020-03-20,45.375,PM25,Kennedy
KENNEDY,2020-03-19,63.33333333,PM25,Kennedy
KENNEDY,2020-03-18,59.33333333,PM25,Kennedy
KENNEDY,2020-03-17,49.33333333,PM25,Kennedy
KENNEDY,2020-03-16,39.69565217,PM25,Kennedy
KENNEDY,2020-03-15,23.59090909,PM25,Kennedy
KENNEDY,2020-03-14,20.33333333,PM25,Kennedy
KENNEDY,2020-03-13,31.58333333,PM25,Kennedy
