Tema Queja;Año;Área;Número de quejas
Humo de tabaco;2014;Bosa;0
Humo de tabaco;2014;Kennedy;3
Humo de tabaco;2014;Fontibón;2
Humo de tabaco;2014;Engativá;3
Humo de tabaco;2014;Suba;3
Humo de tabaco;2014;Barrios Unidos;2
Humo de tabaco;2014;Teusaquillo;4
Humo de tabaco;2014;Los Mártires;2
Humo de tabaco;2014;Antonio Nariño;2
Humo de tabaco;2014;Puente Aranda;2
Humo de tabaco;2014;La Candelaria;1
Humo de tabaco;2014;Rafael Uribe Uribe;3
Humo de tabaco;2014;Ciudad Bolívar;0
Humo de tabaco;2014;Distrito;41
Olores ofensivos;2014;Usaquén;3
Olores ofensivos;2014;Chapinero;9
Olores ofensivos;2014;Santa Fe;3
Olores ofensivos;2014;San Cristóbal;2
Olores ofensivos;2014;Usme;0
Olores ofensivos;2014;Tunjuelito;6
Olores ofensivos;2014;Bosa;41
Olores ofensivos;2014;Kennedy;12
Olores ofensivos;2014;Fontibón;5
Olores ofensivos;2014;Engativá;6
Olores ofensivos;2014;Suba;6
Olores ofensivos;2014;Barrios Unidos;14
Olores ofensivos;2014;Teusaquillo;6
Olores ofensivos;2014;Los Mártires;1
Olores ofensivos;2014;Antonio Nariño;3
Olores ofensivos;2014;Puente Aranda;0
Olores ofensivos;2014;La Candelaria;0
Olores ofensivos;2014;Rafael Uribe Uribe;5
Olores ofensivos;2014;Ciudad Bolívar;8
Olores ofensivos;2014;Distrito;130
Contaminación por ruido;2014;Usaquén;8
Contaminación por ruido;2014;Chapinero;22
Contaminación por ruido;2014;Santa Fe;4
Contaminación por ruido;2014;San Cristóbal;5
Contaminación por ruido;2014;Usme;0
Contaminación por ruido;2014;Tunjuelito;3
Contaminación por ruido;2014;Bosa;7
Contaminación por ruido;2014;Kennedy;14
Contaminación por ruido;2014;Fontibón;3
Contaminación por ruido;2014;Engativá;6
Contaminación por ruido;2014;Suba;2
Contaminación por ruido;2014;Barrios Unidos;9
Contaminación por ruido;2014;Teusaquillo;8
Contaminación por ruido;2014;Los Mártires;0
Contaminación por ruido;2014;Antonio Nariño;2
Contaminación por ruido;2014;Puente Aranda;6
Contaminación por ruido;2014;La Candelaria;2
Contaminación por ruido;2014;Rafael Uribe Uribe;3
Contaminación por ruido;2014;Ciudad Bolívar;1
Contaminación por ruido;2014;Distrito;105
Radiaciones electromagnéticas;2014;Usaquén;10
Radiaciones electromagnéticas;2014;Chapinero;3
Radiaciones electromagnéticas;2014;Santa Fe;2
Radiaciones electromagnéticas;2014;San Cristóbal;0
Radiaciones electromagnéticas;2014;Usme;0
Radiaciones electromagnéticas;2014;Tunjuelito;0
Radiaciones electromagnéticas;2014;Bosa;3
Radiaciones electromagnéticas;2014;Kennedy;2
Radiaciones electromagnéticas;2014;Fontibón;8
Radiaciones electromagnéticas;2014;Engativá;6
Radiaciones electromagnéticas;2014;Suba;17
Radiaciones electromagnéticas;2014;Barrios Unidos;3
Radiaciones electromagnéticas;2014;Teusaquillo;4
Radiaciones electromagnéticas;2014;Los Mártires;0
Radiaciones electromagnéticas;2014;Antonio Nariño;0
Radiaciones electromagnéticas;2014;Puente Aranda;1
Radiaciones electromagnéticas;2014;La Candelaria;1
Radiaciones electromagnéticas;2014;Rafael Uribe Uribe;3
Radiaciones electromagnéticas;2014;Ciudad Bolívar;1
Radiaciones electromagnéticas;2014;Distrito;64
Contaminación por aire;2015;Usaquén;3
Contaminación por aire;2015;Chapinero;9
Contaminación por aire;2015;Santa Fe;3
Contaminación por aire;2015;San Cristóbal;2
Contaminación por aire;2015;Usme;1
Contaminación por aire;2015;Tunjuelito;1
Contaminación por aire;2015;Bosa;20
Contaminación por aire;2015;Kennedy;9
Contaminación por aire;2015;Fontibón;2
Contaminación por aire;2015;Engativá;2
Contaminación por aire;2015;Suba;8
Contaminación por aire;2015;Barrios Unidos;4
Contaminación por aire;2015;Teusaquillo;7
Contaminación por aire;2015;Los Mártires;3
Contaminación por aire;2015;Antonio Nariño;1
Contaminación por aire;2015;Puente Aranda;10
Contaminación por aire;2015;La Candelaria;0
Contaminación por aire;2015;Rafael Uribe Uribe;2
Contaminación por aire;2015;Ciudad Bolívar;4
Contaminación por aire;2015;Distrito;91
Humo de tabaco;2015;Usaquén;5
Humo de tabaco;2015;Chapinero;2
Humo de tabaco;2015;Santa Fe;1
Humo de tabaco;2015;San Cristóbal;0
Humo de tabaco;2015;Usme;0
