Tema Queja;Año;Área;Número de quejas
Humo de tabaco;2019;Chapinero;4
Humo de tabaco;2019;Santa Fe;1
Humo de tabaco;2019;San Cristóbal;1
Humo de tabaco;2019;Usme;0
Humo de tabaco;2019;Tunjuelito;0
Humo de tabaco;2019;Bosa;2
Humo de tabaco;2019;Kennedy;1
Humo de tabaco;2019;Fontibón;4
Humo de tabaco;2019;Engativá;6
Humo de tabaco;2019;Suba;1
Humo de tabaco;2019;Barrios Unidos;1
Humo de tabaco;2019;Teusaquillo;0
Humo de tabaco;2019;Los Mártires;0
Humo de tabaco;2019;Antonio Nariño;0
Humo de tabaco;2019;Puente Aranda;0
Humo de tabaco;2019;La Candelaria;0
Humo de tabaco;2019;Rafael Uribe Uribe;1
Humo de tabaco;2019;Ciudad Bolívar;1
Humo de tabaco;2019;Distrito;26
Radiaciones electromagnéticas;2019;Usaquén;0
Radiaciones electromagnéticas;2019;Chapinero;0
Radiaciones electromagnéticas;2019;Santa Fe;1
Radiaciones electromagnéticas;2019;San Cristóbal;0
Radiaciones electromagnéticas;2019;Usme;0
Radiaciones electromagnéticas;2019;Tunjuelito;1
Radiaciones electromagnéticas;2019;Bosa;1
Radiaciones electromagnéticas;2019;Kennedy;2
Radiaciones electromagnéticas;2019;Fontibón;0
Radiaciones electromagnéticas;2019;Engativá;0
Radiaciones electromagnéticas;2019;Suba;2
Radiaciones electromagnéticas;2019;Barrios Unidos;0
Radiaciones electromagnéticas;2019;Teusaquillo;5
Radiaciones electromagnéticas;2019;Los Mártires;0
Radiaciones electromagnéticas;2019;Antonio Nariño;0
Radiaciones electromagnéticas;2019;Puente Aranda;0
Radiaciones electromagnéticas;2019;La Candelaria;0
Radiaciones electromagnéticas;2019;Rafael Uribe Uribe;0
Radiaciones electromagnéticas;2019;Ciudad Bolívar;0
Radiaciones electromagnéticas;2019;Distrito;12
Olores ofensivos;2019;Usaquén;13
Olores ofensivos;2019;Chapinero;4
Olores ofensivos;2019;Santa Fe;1
Olores ofensivos;2019;San Cristóbal;3
Olores ofensivos;2019;Usme;8
Olores ofensivos;2019;Tunjuelito;7
Olores ofensivos;2019;Bosa;15
Olores ofensivos;2019;Kennedy;16
Olores ofensivos;2019;Fontibón;14
Olores ofensivos;2019;Engativá;17
Olores ofensivos;2019;Suba;11
Olores ofensivos;2019;Barrios Unidos;10
Olores ofensivos;2019;Teusaquillo;5
Olores ofensivos;2019;Los Mártires;2
Olores ofensivos;2019;Antonio Nariño;5
Olores ofensivos;2019;Puente Aranda;8
Olores ofensivos;2019;La Candelaria;1
Olores ofensivos;2019;Rafael Uribe Uribe;3
Olores ofensivos;2019;Ciudad Bolívar;6
Olores ofensivos;2019;Distrito;149
Contaminación por ruido;2019;Usaquén;5
Contaminación por ruido;2019;Chapinero;8
Contaminación por ruido;2019;Santa Fe;0
Contaminación por ruido;2019;San Cristóbal;4
Contaminación por ruido;2019;Usme;8
Contaminación por ruido;2019;Tunjuelito;5
Contaminación por ruido;2019;Bosa;18
Contaminación por ruido;2019;Kennedy;14
Contaminación por ruido;2019;Fontibón;7
Contaminación por ruido;2019;Engativá;9
Contaminación por ruido;2019;Suba;7
Contaminación por ruido;2019;Barrios Unidos;4
Contaminación por ruido;2019;Teusaquillo;5
Contaminación por ruido;2019;Los Mártires;4
Contaminación por ruido;2019;Antonio Nariño;7
Contaminación por ruido;2019;Puente Aranda;8
Contaminación por ruido;2019;La Candelaria;0
Contaminación por ruido;2019;Rafael Uribe Uribe;4
Contaminación por ruido;2019;Ciudad Bolívar;12
Contaminación por ruido;2019;Distrito;129
Contaminación por aire;2020;Usaquén;3
Contaminación por aire;2020;Chapinero;0
Contaminación por aire;2020;Santa Fe;3
Contaminación por aire;2020;San Cristóbal;2
Contaminación por aire;2020;Usme;0
Contaminación por aire;2020;Tunjuelito;2
Contaminación por aire;2020;Bosa;4
Contaminación por aire;2020;Kennedy;4
Contaminación por aire;2020;Fontibón;1
Contaminación por aire;2020;Engativá;1
Contaminación por aire;2020;Suba;1
Contaminación por aire;2020;Barrios Unidos;1
Contaminación por aire;2020;Teusaquillo;1
Contaminación por aire;2020;Los Mártires;2
Contaminación por aire;2020;Antonio Nariño;0
Contaminación por aire;2020;Puente Aranda;1
Contaminación por aire;2020;La Candelaria;0
Contaminación por aire;2020;Rafael Uribe Uribe;1
Contaminación por aire;2020;Ciudad Bolívar;1
Contaminación por aire;2020;Distrito;28
Olores ofensivos;2020;Usaquén;5
Olores ofensivos;2020;Chapinero;0
Olores ofensivos;2020;Santa Fe;0
Olores ofensivos;2020;San Cristóbal;0
Olores ofensivos;2020;Usme;5
Olores ofensivos;2020;Tunjuelito;4
Olores ofensivos;2020;Bosa;4
Olores ofensivos;2020;Kennedy;10
Olores ofensivos;2020;Fontibón;5
Olores ofensivos;2020;Engativá;2
Olores ofensivos;2020;Suba;4
Olores ofensivos;2020;Barrios Unidos;1
Olores ofensivos;2020;Teusaquillo;1
Olores ofensivos;2020;Los Mártires;1
Olores ofensivos;2020;Antonio Nariño;1
Olores ofensivos;2020;Puente Aranda;4
Olores ofensivos;2020;La Candelaria;0
Olores ofensivos;2020;Rafael Uribe Uribe;1
Olores ofensivos;2020;Ciudad Bolívar;4
Olores ofensivos;2020;Distrito;52
Humo de tabaco;2020;Usaquén;1
Humo de tabaco;2020;Chapinero;7
Humo de tabaco;2020;Santa Fe;0
Humo de tabaco;2020;San Cristóbal;0
Humo de tabaco;2020;Usme;0
Humo de tabaco;2020;Tunjuelito;0
Humo de tabaco;2020;Bosa;0
Humo de tabaco;2020;Kennedy;3
Humo de tabaco;2020;Fontibón;1
Humo de tabaco;2020;Engativá;0
Humo de tabaco;2020;Suba;1
Humo de tabaco;2020;Barrios Unidos;4
Humo de tabaco;2020;Teusaquillo;4
Humo de tabaco;2020;Los Mártires;0
Humo de tabaco;2020;Antonio Nariño;1
Humo de tabaco;2020;Puente Aranda;1
Humo de tabaco;2020;La Candelaria;0
Humo de tabaco;2020;Rafael Uribe Uribe;0
Humo de tabaco;2020;Ciudad Bolívar;0
Humo de tabaco;2020;Distrito;23
Contaminación por ruido;2020;Usaquén;3
Contaminación por ruido;2020;Chapinero;2
Contaminación por ruido;2020;Santa Fe;2
Contaminación por ruido;2020;San Cristóbal;1
Contaminación por ruido;2020;Usme;3
Contaminación por ruido;2020;Tunjuelito;4
Contaminación por ruido;2020;Bosa;6
Contaminación por ruido;2020;Kennedy;5
Contaminación por ruido;2020;Fontibón;7
Contaminación por ruido;2020;Engativá;7
Contaminación por ruido;2020;Suba;3
Contaminación por ruido;2020;Barrios Unidos;4
Contaminación por ruido;2020;Teusaquillo;3
Contaminación por ruido;2020;Los Mártires;1
Contaminación por ruido;2020;Antonio Nariño;1
Contaminación por ruido;2020;Puente Aranda;2
Contaminación por ruido;2020;La Candelaria;0
Contaminación por ruido;2020;Rafael Uribe Uribe;1
Contaminación por ruido;2020;Ciudad Bolívar;2
Contaminación por ruido;2020;Distrito;57
Radiaciones electromagnéticas;2020;Usaquén;1
Radiaciones electromagnéticas;2020;Chapinero;1
Radiaciones electromagnéticas;2020;Santa Fe;0
Radiaciones electromagnéticas;2020;San Cristóbal;0
Radiaciones electromagnéticas;2020;Usme;0
Radiaciones electromagnéticas;2020;Tunjuelito;0
Radiaciones electromagnéticas;2020;Bosa;1
Radiaciones electromagnéticas;2020;Kennedy;0
Radiaciones electromagnéticas;2020;Fontibón;0
Radiaciones electromagnéticas;2020;Engativá;1
Radiaciones electromagnéticas;2020;Suba;1
Radiaciones electromagnéticas;2020;Barrios Unidos;0
Radiaciones electromagnéticas;2020;Teusaquillo;0
Radiaciones electromagnéticas;2020;Los Mártires;1
Radiaciones electromagnéticas;2020;Antonio Nariño;0
Radiaciones electromagnéticas;2020;Puente Aranda;0
Radiaciones electromagnéticas;2020;La Candelaria;1
Radiaciones electromagnéticas;2020;Rafael Uribe Uribe;0
Radiaciones electromagnéticas;2020;Ciudad Bolívar;0
Radiaciones electromagnéticas;2020;Distrito;7
Contaminación por aire;2021;Usaquén;0
Contaminación por aire;2021;Chapinero;4
Contaminación por aire;2021;Santa Fe;0
Contaminación por aire;2021;San Cristóbal;1
Contaminación por aire;2021;Usme;8
Contaminación por aire;2021;Tunjuelito;3
Contaminación por aire;2021;Bosa;8
Contaminación por aire;2021;Kennedy;4
Contaminación por aire;2021;Fontibón;1
Contaminación por aire;2021;Engativá;5
Contaminación por aire;2021;Suba;5
Contaminación por aire;2021;Barrios Unidos;4
Contaminación por aire;2021;Teusaquillo;3
Contaminación por aire;2021;Los Mártires;0
Contaminación por aire;2021;Antonio Nariño;3
Contaminación por aire;2021;Puente Aranda;5
Contaminación por aire;2021;La Candelaria;0
Contaminación por aire;2021;Rafael Uribe Uribe;1
Contaminación por aire;2021;Ciudad Bolívar;4
Contaminación por aire;2021;Distrito;59
Olores ofensivos;2021;Usaquén;11
Olores ofensivos;2021;Chapinero;8
Olores ofensivos;2021;Santa Fe;0
Olores ofensivos;2021;San Cristóbal;3
Olores ofensivos;2021;Usme;9
Olores ofensivos;2021;Tunjuelito;7
Olores ofensivos;2021;Bosa;9
Olores ofensivos;2021;Kennedy;17
Olores ofensivos;2021;Fontibón;9
Olores ofensivos;2021;Engativá;15
Olores ofensivos;2021;Suba;13
Olores ofensivos;2021;Barrios Unidos;5
Olores ofensivos;2021;Teusaquillo;3
Olores ofensivos;2021;Los Mártires;0
Olores ofensivos;2021;Antonio Nariño;5
Olores ofensivos;2021;Puente Aranda;2
Olores ofensivos;2021;La Candelaria;0
Olores ofensivos;2021;Rafael Uribe Uribe;1
Olores ofensivos;2021;Ciudad Bolívar;13
Olores ofensivos;2021;Distrito;130
Humo de tabaco;2021;Usaquén;2
Humo de tabaco;2021;Chapinero;1
Humo de tabaco;2021;Santa Fe;0
Humo de tabaco;2021;San Cristóbal;2
Humo de tabaco;2021;Usme;0
Humo de tabaco;2021;Tunjuelito;0
Humo de tabaco;2021;Bosa;2
Humo de tabaco;2021;Kennedy;1
Humo de tabaco;2021;Fontibón;5
Humo de tabaco;2021;Engativá;3
Humo de tabaco;2021;Suba;1
Humo de tabaco;2021;Barrios Unidos;2
Humo de tabaco;2021;Teusaquillo;0
Humo de tabaco;2021;Los Mártires;0
Humo de tabaco;2021;Antonio Nariño;0
Humo de tabaco;2021;Puente Aranda;0
Humo de tabaco;2021;La Candelaria;0
Humo de tabaco;2021;Rafael Uribe Uribe;0
Humo de tabaco;2021;Ciudad Bolívar;0
Humo de tabaco;2021;Distrito;19
Contaminación por ruido;2021;Usaquén;12
Contaminación por ruido;2021;Chapinero;5
Contaminación por ruido;2021;Santa Fe;1
Contaminación por ruido;2021;San Cristóbal;3
Contaminación por ruido;2021;Usme;10
Contaminación por ruido;2021;Tunjuelito;13
Contaminación por ruido;2021;Bosa;17
Contaminación por ruido;2021;Kennedy;16
Contaminación por ruido;2021;Fontibón;9
Contaminación por ruido;2021;Engativá;17
Contaminación por ruido;2021;Suba;16
Contaminación por ruido;2021;Barrios Unidos;3
Contaminación por ruido;2021;Teusaquillo;7
Contaminación por ruido;2021;Los Mártires;4
Contaminación por ruido;2021;Antonio Nariño;3
Contaminación por ruido;2021;Puente Aranda;9
Contaminación por ruido;2021;La Candelaria;0
Contaminación por ruido;2021;Rafael Uribe Uribe;5
Contaminación por ruido;2021;Ciudad Bolívar;7
Contaminación por ruido;2021;Distrito;157
Radiaciones electromagnéticas;2021;Usaquén;1
Radiaciones electromagnéticas;2021;Chapinero;2
Radiaciones electromagnéticas;2021;Santa Fe;0
Radiaciones electromagnéticas;2021;San Cristóbal;0
Radiaciones electromagnéticas;2021;Usme;0
Radiaciones electromagnéticas;2021;Tunjuelito;0
Radiaciones electromagnéticas;2021;Bosa;1
Radiaciones electromagnéticas;2021;Kennedy;1
Radiaciones electromagnéticas;2021;Fontibón;0
Radiaciones electromagnéticas;2021;Engativá;5
Radiaciones electromagnéticas;2021;Suba;1
Radiaciones electromagnéticas;2021;Barrios Unidos;2
Radiaciones electromagnéticas;2021;Teusaquillo;0
Radiaciones electromagnéticas;2021;Los Mártires;0
Radiaciones electromagnéticas;2021;Antonio Nariño;0
Radiaciones electromagnéticas;2021;Puente Aranda;0
Radiaciones electromagnéticas;2021;La Candelaria;0
Radiaciones electromagnéticas;2021;Rafael Uribe Uribe;0
Radiaciones electromagnéticas;2021;Ciudad Bolívar;0
Radiaciones electromagnéticas;2021;Distrito;13
Contaminación por aire;2022;Usaquén;2
Contaminación por aire;2022;Chapinero;2
Contaminación por aire;2022;Santa Fe;4
Contaminación por aire;2022;San Cristóbal;5
Contaminación por aire;2022;Usme;3
Contaminación por aire;2022;Tunjuelito;3
Contaminación por aire;2022;Bosa;5
Contaminación por aire;2022;Kennedy;7
Contaminación por aire;2022;Fontibón;4
Contaminación por aire;2022;Engativá;7
Contaminación por aire;2022;Suba;5
Contaminación por aire;2022;Barrios Unidos;0
Contaminación por aire;2022;Teusaquillo;2
Contaminación por aire;2022;Los Mártires;2
Contaminación por aire;2022;Antonio Nariño;1
Contaminación por aire;2022;Puente Aranda;6
Contaminación por aire;2022;La Candelaria;0
Contaminación por aire;2022;Rafael Uribe Uribe;2
Contaminación por aire;2022;Ciudad Bolívar;3
Contaminación por aire;2022;Distrito;63
Olores ofensivos;2022;Usaquén;11
Olores ofensivos;2022;Chapinero;11
Olores ofensivos;2022;Santa Fe;1
Olores ofensivos;2022;San Cristóbal;3
Olores ofensivos;2022;Usme;12
Olores ofensivos;2022;Tunjuelito;11
Olores ofensivos;2022;Bosa;19
Olores ofensivos;2022;Kennedy;26
Olores ofensivos;2022;Fontibón;10
Olores ofensivos;2022;Engativá;12
Olores ofensivos;2022;Suba;19
Olores ofensivos;2022;Barrios Unidos;15
Olores ofensivos;2022;Teusaquillo;7
Olores ofensivos;2022;Los Mártires;3
Olores ofensivos;2022;Antonio Nariño;3
Olores ofensivos;2022;Puente Aranda;13
Olores ofensivos;2022;La Candelaria;0
Olores ofensivos;2022;Rafael Uribe Uribe;3
Olores ofensivos;2022;Ciudad Bolívar;9
Olores ofensivos;2022;Distrito;188
Humo de tabaco;2022;Usaquén;5
Humo de tabaco;2022;Chapinero;2
Humo de tabaco;2022;Santa Fe;0
Humo de tabaco;2022;San Cristóbal;1
Humo de tabaco;2022;Usme;1
Humo de tabaco;2022;Tunjuelito;1
Humo de tabaco;2022;Bosa;3
Humo de tabaco;2022;Kennedy;6
Humo de tabaco;2022;Fontibón;1
Humo de tabaco;2022;Engativá;7
Humo de tabaco;2022;Suba;2
Humo de tabaco;2022;Barrios Unidos;3
Humo de tabaco;2022;Teusaquillo;4
Humo de tabaco;2022;Los Mártires;0
Humo de tabaco;2022;Antonio Nariño;0
Humo de tabaco;2022;Puente Aranda;2
Humo de tabaco;2022;La Candelaria;0
Humo de tabaco;2022;Rafael Uribe Uribe;0
Humo de tabaco;2022;Ciudad Bolívar;0
Humo de tabaco;2022;Distrito;38
Contaminación por ruido;2022;Usaquén;17
Contaminación por ruido;2022;Chapinero;14
Contaminación por ruido;2022;Santa Fe;2
Contaminación por ruido;2022;San Cristóbal;3
Contaminación por ruido;2022;Usme;7
Contaminación por ruido;2022;Tunjuelito;15
Contaminación por ruido;2022;Bosa;19
Contaminación por ruido;2022;Kennedy;23
Contaminación por ruido;2022;Fontibón;13
Contaminación por ruido;2022;Engativá;20
Contaminación por ruido;2022;Suba;28
Contaminación por ruido;2022;Barrios Unidos;12
Contaminación por ruido;2022;Teusaquillo;16
Contaminación por ruido;2022;Los Mártires;8
Contaminación por ruido;2022;Antonio Nariño;4
Contaminación por ruido;2022;Puente Aranda;10
Contaminación por ruido;2022;La Candelaria;0
Contaminación por ruido;2022;Rafael Uribe Uribe;5
Contaminación por ruido;2022;Ciudad Bolívar;10
Contaminación por ruido;2022;Distrito;226
Radiaciones electromagnéticas;2022;Usaquén;0
Radiaciones electromagnéticas;2022;Chapinero;2
Radiaciones electromagnéticas;2022;Santa Fe;1
Radiaciones electromagnéticas;2022;San Cristóbal;1
Radiaciones electromagnéticas;2022;Usme;0
Radiaciones electromagnéticas;2022;Tunjuelito;0
Radiaciones electromagnéticas;2022;Bosa;0
Radiaciones electromagnéticas;2022;Kennedy;0
Radiaciones electromagnéticas;2022;Fontibón;3
Radiaciones electromagnéticas;2022;Engativá;2
Radiaciones electromagnéticas;2022;Suba;3
Radiaciones electromagnéticas;2022;Barrios Unidos;1
Radiaciones electromagnéticas;2022;Teusaquillo;0
Radiaciones electromagnéticas;2022;Los Mártires;0
Radiaciones electromagnéticas;2022;Antonio Nariño;0
Radiaciones electromagnéticas;2022;Puente Aranda;1
Radiaciones electromagnéticas;2022;La Candelaria;0
Radiaciones electromagnéticas;2022;Rafael Uribe Uribe;0
Radiaciones electromagnéticas;2022;Ciudad Bolívar;0
Radiaciones electromagnéticas;2022;Distrito;14
Contaminación por aire;2023;Usaquén;5
Contaminación por aire;2023;Chapinero;4
Contaminación por aire;2023;Santa Fe;3
Contaminación por aire;2023;San Cristóbal;1
Contaminación por aire;2023;Usme;7
Contaminación por aire;2023;Tunjuelito;8
Contaminación por aire;2023;Bosa;13
Contaminación por aire;2023;Kennedy;13
Contaminación por aire;2023;Fontibón;8
Contaminación por aire;2023;Engativá;5
Contaminación por aire;2023;Suba;9
Contaminación por aire;2023;Barrios Unidos;4
Contaminación por aire;2023;Teusaquillo;2
Contaminación por aire;2023;Los Mártires;3
Contaminación por aire;2023;Antonio Nariño;0
Contaminación por aire;2023;Puente Aranda;5
Contaminación por aire;2023;La Candelaria;1
Contaminación por aire;2023;Rafael Uribe Uribe;2
Contaminación por aire;2023;Ciudad Bolívar;4
Contaminación por aire;2023;Distrito;97
Olores ofensivos;2023;Usaquén;18
Olores ofensivos;2023;Chapinero;5
Olores ofensivos;2023;Santa Fe;2
Olores ofensivos;2023;San Cristóbal;1
Olores ofensivos;2023;Usme;12
Olores ofensivos;2023;Tunjuelito;9
Olores ofensivos;2023;Bosa;18
Olores ofensivos;2023;Kennedy;30
Olores ofensivos;2023;Fontibón;19
Olores ofensivos;2023;Engativá;22
Olores ofensivos;2023;Suba;21
Olores ofensivos;2023;Barrios Unidos;7
Olores ofensivos;2023;Teusaquillo;6
Olores ofensivos;2023;Los Mártires;1
Olores ofensivos;2023;Antonio Nariño;1
Olores ofensivos;2023;Puente Aranda;17
Olores ofensivos;2023;La Candelaria;0
Olores ofensivos;2023;Rafael Uribe Uribe;8
Olores ofensivos;2023;Ciudad Bolívar;13
Olores ofensivos;2023;Distrito;210
Humo de tabaco;2023;Usaquén;3
Humo de tabaco;2023;Chapinero;1
Humo de tabaco;2023;Santa Fe;0
Humo de tabaco;2023;San Cristóbal;0
Humo de tabaco;2023;Usme;0
Humo de tabaco;2023;Tunjuelito;1
Humo de tabaco;2023;Bosa;4
Humo de tabaco;2023;Kennedy;3
Humo de tabaco;2023;Fontibón;3
Humo de tabaco;2023;Engativá;4
Humo de tabaco;2023;Suba;3
Humo de tabaco;2023;Barrios Unidos;2
Humo de tabaco;2023;Teusaquillo;5
Humo de tabaco;2023;Los Mártires;0
Humo de tabaco;2023;Antonio Nariño;0
Humo de tabaco;2023;Puente Aranda;3
Humo de tabaco;2023;La Candelaria;1
Humo de tabaco;2023;Rafael Uribe Uribe;1
Humo de tabaco;2023;Ciudad Bolívar;1
Humo de tabaco;2023;Distrito;35
Contaminación por ruido;2023;Usaquén;39
Contaminación por ruido;2023;Chapinero;30
Contaminación por ruido;2023;Santa Fe;2
Contaminación por ruido;2023;San Cristóbal;3
Contaminación por ruido;2023;Usme;16
Contaminación por ruido;2023;Tunjuelito;17
Contaminación por ruido;2023;Bosa;37
Contaminación por ruido;2023;Kennedy;52
Contaminación por ruido;2023;Fontibón;21
Contaminación por ruido;2023;Engativá;45
Contaminación por ruido;2023;Suba;61
Contaminación por ruido;2023;Barrios Unidos;18
Contaminación por ruido;2023;Teusaquillo;20
Contaminación por ruido;2023;Los Mártires;5
Contaminación por ruido;2023;Antonio Nariño;4
Contaminación por ruido;2023;Puente Aranda;22
Contaminación por ruido;2023;La Candelaria;1
Contaminación por ruido;2023;Rafael Uribe Uribe;9
Contaminación por ruido;2023;Ciudad Bolívar;15
Contaminación por ruido;2023;Distrito;417
Radiaciones electromagnéticas;2023;Usaquén;0
Radiaciones electromagnéticas;2023;Chapinero;1
Radiaciones electromagnéticas;2023;Santa Fe;0
Radiaciones electromagnéticas;2023;San Cristóbal;0
Radiaciones electromagnéticas;2023;Usme;0
Radiaciones electromagnéticas;2023;Tunjuelito;0
Radiaciones electromagnéticas;2023;Bosa;0
Radiaciones electromagnéticas;2023;Kennedy;0
Radiaciones electromagnéticas;2023;Fontibón;1
Radiaciones electromagnéticas;2023;Engativá;2
Radiaciones electromagnéticas;2023;Suba;0
Radiaciones electromagnéticas;2023;Barrios Unidos;0
Radiaciones electromagnéticas;2023;Teusaquillo;0
Radiaciones electromagnéticas;2023;Los Mártires;0
Radiaciones electromagnéticas;2023;Antonio Nariño;0
Radiaciones electromagnéticas;2023;Puente Aranda;0
Radiaciones electromagnéticas;2023;La Candelaria;0
Radiaciones electromagnéticas;2023;Rafael Uribe Uribe;0
Radiaciones electromagnéticas;2023;Ciudad Bolívar;0
Radiaciones electromagnéticas;2023;Distrito;4
Contaminación por aire;2024;Usaquén;15
Contaminación por aire;2024;Chapinero;6
Contaminación por aire;2024;Santa Fe;1
Contaminación por aire;2024;San Cristóbal;2
Contaminación por aire;2024;Usme;3
Contaminación por aire;2024;Tunjuelito;5
Contaminación por aire;2024;Bosa;8
Contaminación por aire;2024;Kennedy;16
Contaminación por aire;2024;Fontibón;12
Contaminación por aire;2024;Engativá;12
Contaminación por aire;2024;Suba;7
Contaminación por aire;2024;Barrios Unidos;13
Contaminación por aire;2024;Teusaquillo;6
Contaminación por aire;2024;Los Mártires;5
Contaminación por aire;2024;Antonio Nariño;4
Contaminación por aire;2024;Puente Aranda;9
Contaminación por aire;2024;La Candelaria;2
Contaminación por aire;2024;Rafael Uribe Uribe;6
Contaminación por aire;2024;Ciudad Bolívar;3
Contaminación por aire;2024;Distrito;135
Olores ofensivos;2024;Usaquén;17
Olores ofensivos;2024;Chapinero;23
Olores ofensivos;2024;Santa Fe;1
Olores ofensivos;2024;San Cristóbal;2
Olores ofensivos;2024;Usme;6
Olores ofensivos;2024;Tunjuelito;12
Olores ofensivos;2024;Bosa;14
Olores ofensivos;2024;Kennedy;38
Olores ofensivos;2024;Fontibón;20
Olores ofensivos;2024;Engativá;26
Olores ofensivos;2024;Suba;32
Olores ofensivos;2024;Barrios Unidos;14
Olores ofensivos;2024;Teusaquillo;13
Olores ofensivos;2024;Los Mártires;5
Olores ofensivos;2024;Antonio Nariño;4
Olores ofensivos;2024;Puente Aranda;15
Olores ofensivos;2024;La Candelaria;1
Olores ofensivos;2024;Rafael Uribe Uribe;9
Olores ofensivos;2024;Ciudad Bolívar;6
Olores ofensivos;2024;Distrito;258
Humo de tabaco;2024;Usaquén;6
Humo de tabaco;2024;Chapinero;0
Humo de tabaco;2024;Santa Fe;0
Humo de tabaco;2024;San Cristóbal;0
Humo de tabaco;2024;Usme;4
Humo de tabaco;2024;Tunjuelito;0
Humo de tabaco;2024;Bosa;2
Humo de tabaco;2024;Kennedy;3
Humo de tabaco;2024;Fontibón;1
Humo de tabaco;2024;Engativá;10
Humo de tabaco;2024;Suba;13
Humo de tabaco;2024;Barrios Unidos;3
Humo de tabaco;2024;Teusaquillo;6
Humo de tabaco;2024;Los Mártires;0
Humo de tabaco;2024;Antonio Nariño;0
Humo de tabaco;2024;Puente Aranda;1
Humo de tabaco;2024;La Candelaria;1
Humo de tabaco;2024;Rafael Uribe Uribe;0
Humo de tabaco;2024;Ciudad Bolívar;1
Humo de tabaco;2024;Distrito;51
Contaminación por ruido;2024;Usaquén;59
Contaminación por ruido;2024;Chapinero;31
Contaminación por ruido;2024;Santa Fe;6
Contaminación por ruido;2024;San Cristóbal;16
Contaminación por ruido;2024;Usme;27
Contaminación por ruido;2024;Tunjuelito;23
Contaminación por ruido;2024;Bosa;57
Contaminación por ruido;2024;Kennedy;78
Contaminación por ruido;2024;Fontibón;33
Contaminación por ruido;2024;Engativá;58
Contaminación por ruido;2024;Suba;107
Contaminación por ruido;2024;Barrios Unidos;47
Contaminación por ruido;2024;Teusaquillo;34
Contaminación por ruido;2024;Los Mártires;8
Contaminación por ruido;2024;Antonio Nariño;8
Contaminación por ruido;2024;Puente Aranda;29
Contaminación por ruido;2024;La Candelaria;4
Contaminación por ruido;2024;Rafael Uribe Uribe;20
Contaminación por ruido;2024;Ciudad Bolívar;31
Contaminación por ruido;2024;Distrito;676
Radiaciones electromagnéticas;2024;Usaquén;1
Radiaciones electromagnéticas;2024;Chapinero;1
Radiaciones electromagnéticas;2024;Santa Fe;0
Radiaciones electromagnéticas;2024;San Cristóbal;0
Radiaciones electromagnéticas;2024;Usme;0
Radiaciones electromagnéticas;2024;Tunjuelito;0
Radiaciones electromagnéticas;2024;Bosa;0
Radiaciones electromagnéticas;2024;Kennedy;0
Radiaciones electromagnéticas;2024;Fontibón;0
Radiaciones electromagnéticas;2024;Engativá;1
Radiaciones electromagnéticas;2024;Suba;1
Radiaciones electromagnéticas;2024;Barrios Unidos;2
Radiaciones electromagnéticas;2024;Teusaquillo;0
Radiaciones electromagnéticas;2024;Los Mártires;0
Radiaciones electromagnéticas;2024;Antonio Nariño;0
Radiaciones electromagnéticas;2024;Puente Aranda;0
Radiaciones electromagnéticas;2024;La Candelaria;0
Radiaciones electromagnéticas;2024;Rafael Uribe Uribe;0
Radiaciones electromagnéticas;2024;Ciudad Bolívar;0
Radiaciones electromagnéticas;2024;Distrito;6
Contaminación por aire;2025;Usaquén;12
Contaminación por aire;2025;Chapinero;11
Contaminación por aire;2025;Santa Fe;4
Contaminación por aire;2025;San Cristóbal;4
Contaminación por aire;2025;Usme;3
Contaminación por aire;2025;Tunjuelito;6
Contaminación por aire;2025;Bosa;11
Contaminación por aire;2025;Kennedy;34
Contaminación por aire;2025;Fontibón;11
Contaminación por aire;2025;Engativá;23
Contaminación por aire;2025;Suba;31
Contaminación por aire;2025;Barrios Unidos;17
Contaminación por aire;2025;Teusaquillo;14
Contaminación por aire;2025;Los Mártires;9
Contaminación por aire;2025;Antonio Nariño;4
Contaminación por aire;2025;Puente Aranda;16
Contaminación por aire;2025;La Candelaria;2
Contaminación por aire;2025;Rafael Uribe Uribe;7
Contaminación por aire;2025;Ciudad Bolívar;5
Contaminación por aire;2025;Distrito;224
Olores ofensivos;2025;Usaquén;43
Olores ofensivos;2025;Chapinero;45
Olores ofensivos;2025;Santa Fe;3
Olores ofensivos;2025;San Cristóbal;2
Olores ofensivos;2025;Usme;9
Olores ofensivos;2025;Tunjuelito;8
Olores ofensivos;2025;Bosa;42
Olores ofensivos;2025;Kennedy;74
Olores ofensivos;2025;Fontibón;26
Olores ofensivos;2025;Engativá;58
Olores ofensivos;2025;Suba;72
Olores ofensivos;2025;Barrios Unidos;40
Olores ofensivos;2025;Teusaquillo;16
Olores ofensivos;2025;Los Mártires;7
Olores ofensivos;2025;Antonio Nariño;5
Olores ofensivos;2025;Puente Aranda;34
Olores ofensivos;2025;La Candelaria;2
Olores ofensivos;2025;Rafael Uribe Uribe;10
Olores ofensivos;2025;Ciudad Bolívar;9
Olores ofensivos;2025;Distrito;505
Humo de tabaco;2025;Usaquén;8
Humo de tabaco;2025;Chapinero;2
Humo de tabaco;2025;Santa Fe;0
Humo de tabaco;2025;San Cristóbal;2
Humo de tabaco;2025;Usme;1
Humo de tabaco;2025;Tunjuelito;2
Humo de tabaco;2025;Bosa;5
Humo de tabaco;2025;Kennedy;6
Humo de tabaco;2025;Fontibón;3
