ANO;EVENTO;GRUPO_EDAD;LOCALIDAD;CONCENTRACION_PM_2_5;NUMERO_MUERTES_POBLACION;POBLACION_CENSO_2018;ESTIMADO_CASOS_ATRIBUIBLES_100000_HABITANTES_CENTRAL;ESTIMACION_PROPORCION_ATRIBUIBLE_CENTRAL - Copia
2018;Mortalidad, enf resp;Adultos >= 30 años; Usaquén;13.5;279;324202;6,7;7,78%
2019;Mortalidad, enf resp;Adultos >= 30 años; Chapinero;13.6;89;102005;6,9;7,87%
2023;Mortalidad, enf resp;Adultos >= 30 años; Barrios Unidos;13.6;98;97221;7,9;7,87%
2023;Mortalidad, enf resp;Adultos >= 30 años; Suba;13.7;439;770770;4,5;7,96%
2019;Mortalidad, enf resp;Adultos >= 30 años; Barrios Unidos;13.7;124;84213;11,7;7,96%
2023;Mortalidad, enf resp;Adultos >= 30 años; Teusaquillo;13.8;75;113307;5,3;8,05%
2019;Mortalidad, enf resp;Adultos >= 30 años; Usaquén;13.8;269;336053;6,4;8,05%
2020;Mortalidad, enf resp;Adultos >= 30 años; Usaquén;13.8;118;347670;2,7;8,05%
2018;Mortalidad, enf resp;Adultos >= 30 años; Santa Fe;13.8;90;55577;13;8,05%
2020;Mortalidad, enf resp;Adultos >= 30 años; Santa Fe;13.8;40;57488;5,6;8,05%
2018;Mortalidad, enf resp;Adultos >= 30 años; Barrios Unidos;14.5;104;80401;11,2;8,66%
2024;Mortalidad, enf resp;Adultos >= 30 años; Usaquén;14.6;280;384647;6,4;8,74%
2022;Mortalidad, enf resp;Adultos >= 30 años; San Cristóbal;14.7;177;214562;7,9;9,63%
2020;Mortalidad, enf resp;Adultos >= 30 años; Suba;14.7;247;695357;3,1;8,83%
2018;Mortalidad, enf resp;Adultos >= 30 años; Fontibón;14.8;163;207202;7;8,92%
2019;Mortalidad, enf resp;Adultos >= 30 años; Suba;14.8;517;667272;6,9;8,92%
2024;Mortalidad, enf resp;Adultos >= 30 años; Barrios Unidos;14.9;94;100246;8,4;9,00%
2024;Mortalidad, enf resp;Adultos >= 30 años; Chapinero;14.9;57;120839;4,2;9,00%
2018;Mortalidad, enf resp;Adultos >= 30 años; Suba;15;454;637453;6,5;9,09%
2024;Mortalidad, enf resp;Adultos >= 30 años; Los Mártires;15.1;61;47703;11,7;9,18%
2022;Mortalidad, enf resp;Adultos >= 30 años; Suba;15.1;458;745691;5,6;9,18%
2022;Mortalidad, enf resp;Adultos >= 30 años; Santa Fe;15.2;62;58343;9,8;9,26%
2019;Mortalidad, enf resp;Adultos >= 30 años; Teusaquillo;15.2;122;99200;11,4;9,26%
2021;Mortalidad, enf resp;Adultos >= 30 años; Teusaquillo;15.3;64;111289;5,4;9,35%
2024;Mortalidad, enf resp;Adultos >= 30 años; Teusaquillo;15.3;81;113815;6,7;9,35%
2018;Mortalidad, enf resp;Adultos >= 30 años; Teusaquillo;15.3;111;93591;11,1;9,35%
2019;Mortalidad, enf resp;Adultos >= 30 años; Los Mártires;15.4;81;44860;17;9,44%
2024;Mortalidad, enf resp;Adultos >= 30 años; Santa Fe;15.4;67;59136;10,7;9,44%
2024;Mortalidad, enf resp;Adultos >= 30 años; Suba;15.5;532;797571;6,4;9,52%
2022;Mortalidad, enf resp;Adultos >= 30 años; Los Mártires;15.6;57;46396;11,8;9,61%
2023;Mortalidad, enf resp;Adultos >= 30 años; Antonio Nariño;15.6;58;48385;11,5;9,61%
2018;Mortalidad, enf resp;Adultos >= 30 años; Los Mártires;15.7;83;39908;20,2;9,70%
2021;Mortalidad, enf resp;Adultos >= 30 años; Engativá;15.9;380;480463;7,8;9,87%
2019;Mortalidad, enf resp;Adultos >= 30 años; Usme;16;163;177967;9,1;9,95%
2020;Mortalidad, enf resp;Adultos >= 30 años; Teusaquillo;16.1;54;105780;5,1;10,04%
2023;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTA_post_covid;16.1;3390;4556754;7,5;10,04%
2023;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTAU;16.1;3388;4598833;7,4;10,04%
2023;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTA;16.1;3390;4600799;7,4;10,04%
2023;Mortalidad, enf resp;Adultos >= 30 años; Engativá;16.1;381;501166;7,6;10,04%
2021;Mortalidad, enf resp;Adultos >= 30 años; Los Mártires;16.2;59;45581;13,1;10,12%
2019;Mortalidad, enf resp;Adultos >= 30 años; Engativá;16.2;512;459611;11,3;10,12%
2022;Mortalidad, enf resp;Adultos >= 30 años; Chapinero;16.3;64;114421;5,7;10,21%
2021;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTAU;16.4;3108;4379915;7,3;10,30%
2021;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTA;16.4;3109;4381710;7,3;10,30%
2021;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTA_post_covid;16.4;3109;4381932;7,3;10,30%
2022;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTA_post_covid;16.5;3291;4471525;7,6;10,38%
2022;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTAU;16.5;3289;4488685;7,6;10,38%
2022;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTA;16.5;3291;4490578;7,6;10,38%
2020;Mortalidad, enf resp;Adultos >= 30 años; Los Mártires;16.5;33;45231;7,6;10,38%
2023;Mortalidad, enf resp;Adultos >= 30 años; Fontibón;16.7;161;244616;6,9;10,55%
2023;Mortalidad, enf resp;Adultos >= 30 años; Puente Aranda;16.8;152;159090;10,2;10,64%
2024;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTAU;16.9;3832;4336734;9,5;10,72%
2024;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTA_post_covid;16.9;3832;4640295;8,9;10,72%
2024;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTA;16.9;3832;4721381;8,7;10,72%
2024;Mortalidad, enf resp;Adultos >= 30 años; Antonio Nariño;16.9;79;48970;17,3;10,72%
2018;Mortalidad, enf resp;Adultos >= 30 años; Usme;17;156;170388;9,9;10,81%
2018;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTAU;17.2;3893;3989531;10,7;10,98%
2018;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTA;17.2;3895;3991024;10,7;10,98%
2018;Mortalidad, enf resp;Adultos >= 30 años; Antonio Nariño;17.2;74;45911;17,7;10,98%
2020;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTA;17.25;2102;4265430;5,5;11,06%
2020;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTA_post_covid;17.25;2102;4270635;5,4;11,06%
2020;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTAU;17.3;2102;4263727;5,5;11,06%
2020;Mortalidad, enf resp;Adultos >= 30 años; Antonio Nariño;17.3;45;46939;10,6;11,06%
2022;Mortalidad, enf resp;Adultos >= 30 años; Antonio Nariño;17.3;55;47851;12,7;11,06%
2019;Mortalidad, enf resp;Adultos >= 30 años; Antonio Nariño;17.4;74;46237;17,8;11,15%
2020;Mortalidad, enf resp;Adultos >= 30 años; Engativá;17.4;243;471044;5,8;11,15%
2021;Mortalidad, enf resp;Adultos >= 30 años; Fontibón;17.7;145;230794;7,2;11,40%
2019;Mortalidad, enf resp;Adultos >= 30 años; Fontibón;17.9;180;215691;9,7;11,57%
2021;Mortalidad, enf resp;Adultos >= 30 años; Antonio Nariño;17.9;48;47165;11,8;11,57%
2024;Mortalidad, enf resp;Adultos >= 30 años; Puente Aranda;18.1;164;162365;11,9;11,74%
2022;Mortalidad, enf resp;Adultos >= 30 años; Bosa;18.1;250;373490;7,9;11,74%
2024;Mortalidad, enf resp;Adultos >= 30 años; Engativá;18.1;430;513101;9,8;11,74%
2019;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTAU;18.3;4121;4129860;11,9;11,91%
2019;Mortalidad, enf resp;Adultos >= 30 años;TOTAL_BOGOTA;18.3;4121;4131469;11,9;11,91%
2021;Mortalidad, enf resp;Adultos >= 30 años; Puente Aranda;18.4;123;152455;9,7;11,99%
2020;Mortalidad, enf resp;Adultos >= 30 años; Rafael Uribe Uribe;18.4;141;201953;8,4;11,99%
2020;Mortalidad, enf resp;Adultos >= 30 años; Puente Aranda;18.7;75;149158;6,2;12,24%
2022;Mortalidad, enf resp;Adultos >= 30 años; Puente Aranda;18.7;146;155906;11,5;12,24%
2024;Mortalidad, enf resp;Adultos >= 30 años; Fontibón;18.8;199;251085;9,8;12,32%
2018;Mortalidad, enf resp;Adultos >= 30 años; Puente Aranda;18.9;186;141040;16,4;12,41%
2019;Mortalidad, enf resp;Adultos >= 30 años; Puente Aranda;18.9;190;145125;16,2;12,41%
2022;Mortalidad, enf resp;Adultos >= 30 años; Teusaquillo;19;67;112727;7,4;12,49%
2022;Mortalidad, enf resp;Adultos >= 30 años; Fontibón;19.1;174;237788;9,2;12,57%
2022;Mortalidad, enf resp;Adultos >= 30 años; Barrios Unidos;19.1;79;94231;10,5;12,57%
2022;Mortalidad, enf resp;Adultos >= 30 años; Engativá;19.2;343;490607;8,9;12,66%
2023;Mortalidad, enf resp;Adultos >= 30 años; Rafael Uribe Uribe;19.3;175;215535;10,3;12,74%
2024;Mortalidad, enf resp;Adultos >= 30 años; Rafael Uribe Uribe;19.3;214;220267;12,4;12,74%
2021;Mortalidad, enf resp;Adultos >= 30 años; Rafael Uribe Uribe;19.5;172;206660;10,7;12,91%
2020;Mortalidad, enf resp;Adultos >= 30 años; Fontibón;19.5;90;223866;5,2;12,91%
2019;Mortalidad, enf resp;Adultos >= 30 años; Rafael Uribe Uribe;19.7;236;196399;15,7;13,07%
2018;Mortalidad, enf resp;Adultos >= 30 años; Rafael Uribe Uribe;20.1;211;190470;14,8;13,40%
2024;Mortalidad, enf resp;Adultos >= 30 años; Bosa;20.1;276;393756;9,4;13,40%
2023;Mortalidad, enf resp;Adultos >= 30 años; Kennedy;20.2;430;599895;9,7;13,49%
2022;Mortalidad, enf resp;Adultos >= 30 años; Rafael Uribe Uribe;20.4;175;211203;11,3;13,65%
2024;Mortalidad, enf resp;Adultos >= 30 años; Kennedy;20.4;515;615559;11,4;13,65%
2021;Mortalidad, enf resp;Adultos >= 30 años; Bosa;20.6;256;368806;9,6;13,82%
2022;Mortalidad, enf resp;Adultos >= 30 años; Kennedy;20.7;444;586620;10,5;13,90%
2020;Mortalidad, enf resp;Adultos >= 30 años; Tunjuelito;21.6;63;96235;9,6;14,63%
2018;Mortalidad, enf resp;Adultos >= 30 años; Bosa;21.7;256;333126;11,3;14,71%
2020;Mortalidad, enf resp;Adultos >= 30 años; Kennedy;21.7;261;563466;6,8;14,71%
2020;Mortalidad, enf resp;Adultos >= 30 años; Bosa;21.8;201;354758;8,4;14,80%
2023;Mortalidad, enf resp;Adultos >= 30 años; Bosa;21.8;226;382891;8,7;14,80%
2021;Mortalidad, enf resp;Adultos >= 30 años; Kennedy;21.9;405;574528;10,5;14,88%
2018;Mortalidad, enf resp;Adultos >= 30 años; Kennedy;22.5;481;539808;13,7;15,36%
2024;Mortalidad, enf resp;Adultos >= 30 años; Tunjuelito;23.2;100;103003;15,5;15,93%
2019;Mortalidad, enf resp;Adultos >= 30 años; Kennedy;23.2;475;551344;13,7;15,93%
2021;Mortalidad, enf resp;Adultos >= 30 años; Tunjuelito;23.2;85;97608;13,9;15,93%
2018;Mortalidad, enf resp;Adultos >= 30 años; Tunjuelito;23.9;131;91513;23,6;16,48%
2023;Mortalidad, enf resp;Adultos >= 30 años; Tunjuelito;24.3;104;101071;17,3;16,80%
2022;Mortalidad, enf resp;Adultos >= 30 años; Tunjuelito;24.4;90;99416;15,3;16,88%
2020;Mortalidad, enf resp;Adultos >= 30 años; Ciudad Bolívar;24.5;178;308232;9,8;16,96%
2019;Mortalidad, enf resp;Adultos >= 30 años; Tunjuelito;24.8;121;94053;22,1;17,20%
2019;Mortalidad, enf resp;Adultos >= 30 años; Bosa;25.1;272;343932;13,8;17,43%
2018;Mortalidad, enf resp;Adultos >= 30 años; Ciudad Bolívar;25.3;277;287936;16,9;17,59%
2024;Mortalidad, enf resp;Adultos >= 30 años; Ciudad Bolívar;26.2;285;342346;15,2;18,30%
2023;Mortalidad, enf resp;Adultos >= 30 años; Ciudad Bolívar;27.2;270;333450;15,4;19,07%
2021;Mortalidad, enf resp;Adultos >= 30 años; Ciudad Bolívar;28.3;234;316849;14,7;19,91%
2019;Mortalidad, enf resp;Adultos >= 30 años; Ciudad Bolívar;29;313;298364;21,5;20,45%
2021;Mortalidad, enf cardio;Adultos >= 30 años; Chapinero;11.9;247;110697;15,5;6,95%
2023;Mortalidad, enf cardio;Adultos >= 30 años; Usaquén;12.1;802;374774;15,3;7,14%
2023;Mortalidad, enf cardio;Adultos >= 30 años; La Candelaria;12.6;40;10732;28,4;7,62%
2021;Mortalidad, enf cardio;Adultos >= 30 años; La Candelaria;12.7;60;10288;45;7,72%
2020;Mortalidad, enf cardio;Adultos >= 30 años; San Cristóbal;12.7;470;206057;17,6;7,72%
2021;Mortalidad, enf cardio;Adultos >= 30 años; Suba;12.7;1727;720477;18,5;7,72%
2023;Mortalidad, enf cardio;Adultos >= 30 años; Chapinero;12.8;231;117671;15,3;7,82%
2018;Mortalidad, enf cardio;Adultos >= 30 años; San Cristóbal;12.8;552;196003;22;7,82%
2021;Mortalidad, enf cardio;Adultos >= 30 años; Barrios Unidos;12.8;337;90960;29;7,82%
2019;Mortalidad, enf cardio;Adultos >= 30 años; San Cristóbal;12.9;554;201121;21,8;7,91%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Engativá;12.9;1243;448600;21,9;7,91%
2018;Mortalidad, enf cardio;Adultos >= 30 años; La Candelaria;12.9;51;9618;42;7,91%
2019;Mortalidad, enf cardio;Adultos >= 30 años; La Candelaria;12.9;40;9844;32,2;7,91%
2023;Mortalidad, enf cardio;Adultos >= 30 años; San Cristóbal;13;543;218494;19,9;8,01%
2023;Mortalidad, enf cardio;Adultos >= 30 años; Los Mártires;13;209;47001;35,6;8,01%
2021;Mortalidad, enf cardio;Adultos >= 30 años; Santa Fe;13;257;57784;35,6;8,01%
2023;Mortalidad, enf cardio;Adultos >= 30 años; Santa Fe;13;185;58669;25,3;8,01%
2020;Mortalidad, enf cardio;Adultos >= 30 años; La Candelaria;13.2;27;10066;22;8,20%
2020;Mortalidad, enf cardio;Adultos >= 30 años; Chapinero;13.3;139;107199;10,8;8,30%
2024;Mortalidad, enf cardio;Adultos >= 30 años; San Cristóbal;13.3;544;222974;20,2;8,30%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Chapinero;13.3;207;96784;17,7;8,30%
2022;Mortalidad, enf cardio;Adultos >= 30 años; Usaquén;13.4;880;365694;20,2;8,39%
2019;Mortalidad, enf cardio;Adultos >= 30 años; Santa Fe;13.4;183;56569;27,2;8,39%
2020;Mortalidad, enf cardio;Adultos >= 30 años; Barrios Unidos;13.4;186;88012;17,7;8,39%
2021;Mortalidad, enf cardio;Adultos >= 30 años; San Cristóbal;13.5;668;210242;27;8,49%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Usaquén;13.5;804;324202;21,1;8,49%
2019;Mortalidad, enf cardio;Adultos >= 30 años; Chapinero;13.6;222;102005;18,7;8,58%
2023;Mortalidad, enf cardio;Adultos >= 30 años; Barrios Unidos;13.6;269;97221;23,8;8,58%
2023;Mortalidad, enf cardio;Adultos >= 30 años; Suba;13.7;1389;770770;15,6;8,68%
2019;Mortalidad, enf cardio;Adultos >= 30 años; Barrios Unidos;13.7;288;84213;29,7;8,68%
2023;Mortalidad, enf cardio;Adultos >= 30 años; Teusaquillo;13.8;269;113307;20,8;8,77%
2019;Mortalidad, enf cardio;Adultos >= 30 años; Usaquén;13.8;783;336053;20,4;8,77%
2020;Mortalidad, enf cardio;Adultos >= 30 años; Usaquén;13.8;524;347670;13,2;8,77%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Santa Fe;13.8;222;55577;35;8,77%
2020;Mortalidad, enf cardio;Adultos >= 30 años; Santa Fe;13.8;129;57488;19,7;8,77%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Barrios Unidos;14.5;294;80401;34,5;9,44%
2024;Mortalidad, enf cardio;Adultos >= 30 años; Usaquén;14.6;868;384647;21,5;9,53%
2022;Mortalidad, enf cardio;Adultos >= 30 años; San Cristóbal;14.7;608;214562;27,3;9,63%
2020;Mortalidad, enf cardio;Adultos >= 30 años; Suba;14.7;1051;695357;14,6;9,63%
2024;Mortalidad, enf cardio;Adultos >= 30 años; La Candelaria;14.8;37;10954;32,8;9,72%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Fontibón;14.8;421;207202;19,8;9,72%
2019;Mortalidad, enf cardio;Adultos >= 30 años; Suba;14.8;1362;667272;19,8;9,72%
2024;Mortalidad, enf cardio;Adultos >= 30 años; Barrios Unidos;14.9;301;100246;29,5;9,82%
2024;Mortalidad, enf cardio;Adultos >= 30 años; Chapinero;14.9;252;120839;20,5;9,82%
2022;Mortalidad, enf cardio;Adultos >= 30 años; La Candelaria;15;39;10510;36,8;9,91%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Suba;15;1362;637453;21,2;9,91%
2024;Mortalidad, enf cardio;Adultos >= 30 años; Los Mártires;15.1;205;47703;43;10,00%
2022;Mortalidad, enf cardio;Adultos >= 30 años; Suba;15.1;1668;745691;22,4;10,00%
2022;Mortalidad, enf cardio;Adultos >= 30 años; Santa Fe;15.2;207;58343;35,8;10,10%
2019;Mortalidad, enf cardio;Adultos >= 30 años; Teusaquillo;15.2;289;99200;29,4;10,10%
2021;Mortalidad, enf cardio;Adultos >= 30 años; Teusaquillo;15.3;348;111289;31,9;10,19%
2024;Mortalidad, enf cardio;Adultos >= 30 años; Teusaquillo;15.3;295;113815;26,4;10,19%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Teusaquillo;15.3;312;93591;34;10,19%
2019;Mortalidad, enf cardio;Adultos >= 30 años; Los Mártires;15.4;208;44860;47,7;10,29%
2024;Mortalidad, enf cardio;Adultos >= 30 años; Santa Fe;15.4;176;59136;30,6;10,29%
2024;Mortalidad, enf cardio;Adultos >= 30 años; Suba;15.5;1479;797571;19,2;10,38%
2022;Mortalidad, enf cardio;Adultos >= 30 años; Los Mártires;15.6;214;46396;48,3;10,47%
2023;Mortalidad, enf cardio;Adultos >= 30 años; Antonio Nariño;15.6;190;48385;41,1;10,47%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Los Mártires;15.7;198;39908;52,4;10,57%
2021;Mortalidad, enf cardio;Adultos >= 30 años; Engativá;15.9;1454;480463;32,5;10,75%
2019;Mortalidad, enf cardio;Adultos >= 30 años; Usme;16;397;177967;24,2;10,85%
2020;Mortalidad, enf cardio;Adultos >= 30 años; Teusaquillo;16.1;183;105780;18,9;10,94%
2023;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTA_post_covid;16.1;10548;4556754;25,3;10,94%
2023;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTAU;16.1;10533;4598833;25,1;10,94%
2023;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTA;16.1;10548;4600799;25,1;10,94%
2023;Mortalidad, enf cardio;Adultos >= 30 años; Engativá;16.1;1270;501166;27,7;10,94%
2021;Mortalidad, enf cardio;Adultos >= 30 años; Los Mártires;16.2;253;45581;61,2;11,03%
2019;Mortalidad, enf cardio;Adultos >= 30 años; Engativá;16.2;1196;459611;28,7;11,03%
2022;Mortalidad, enf cardio;Adultos >= 30 años; Chapinero;16.3;231;114421;22,5;11,12%
2021;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTAU;16.4;12712;4379915;32,6;11,22%
2021;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTA;16.4;12716;4381710;32,6;11,22%
2021;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTA_post_covid;16.4;12716;4381932;32,6;11,22%
2022;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTA_post_covid;16.5;11751;4471525;29,7;11,31%
2022;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTAU;16.5;11741;4488685;29,6;11,31%
2022;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTA;16.5;11751;4490578;29,6;11,31%
2020;Mortalidad, enf cardio;Adultos >= 30 años; Los Mártires;16.5;170;45231;42,5;11,31%
2023;Mortalidad, enf cardio;Adultos >= 30 años; Fontibón;16.7;501;244616;23,5;11,49%
2023;Mortalidad, enf cardio;Adultos >= 30 años; Puente Aranda;16.8;459;159090;33,4;11,59%
2024;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTAU;16.9;10938;4336734;29,5;11,68%
2024;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTA_post_covid;16.9;10943;4640295;27,5;11,68%
2024;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTA;16.9;10943;4721381;27,1;11,68%
2024;Mortalidad, enf cardio;Adultos >= 30 años; Antonio Nariño;16.9;176;48970;42;11,68%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Usme;17;389;170388;26,9;11,77%
2018;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTAU;17.2;10191;3989531;30,5;11,95%
2018;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTA;17.2;10193;3991024;30,5;11,95%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Antonio Nariño;17.2;193;45911;50,3;11,95%
2020;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTA;17.25;7827;4265430;22,1;12,05%
2020;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTA_post_covid;17.25;7827;4270635;22,1;12,05%
2020;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTAU;17.3;7821;4263727;22,1;12,05%
2020;Mortalidad, enf cardio;Adultos >= 30 años; Antonio Nariño;17.3;149;46939;38,2;12,05%
2022;Mortalidad, enf cardio;Adultos >= 30 años; Antonio Nariño;17.3;194;47851;48,8;12,05%
2019;Mortalidad, enf cardio;Adultos >= 30 años; Antonio Nariño;17.4;183;46237;48;12,14%
2020;Mortalidad, enf cardio;Adultos >= 30 años; Engativá;17.4;847;471044;21,8;12,14%
2021;Mortalidad, enf cardio;Adultos >= 30 años; Fontibón;17.7;541;230794;29,1;12,41%
2019;Mortalidad, enf cardio;Adultos >= 30 años; Fontibón;17.9;478;215691;27,9;12,60%
2021;Mortalidad, enf cardio;Adultos >= 30 años; Antonio Nariño;17.9;218;47165;58,2;12,60%
2024;Mortalidad, enf cardio;Adultos >= 30 años; Puente Aranda;18.1;443;162365;34,9;12,78%
2022;Mortalidad, enf cardio;Adultos >= 30 años; Bosa;18.1;857;373490;29,3;12,78%
2024;Mortalidad, enf cardio;Adultos >= 30 años; Engativá;18.1;1258;513101;31,3;12,78%
2019;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTAU;18.3;10076;4129860;31,6;12,96%
2019;Mortalidad, enf cardio;Adultos >= 30 años;TOTAL_BOGOTA;18.3;10078;4131469;31,6;12,96%
2021;Mortalidad, enf cardio;Adultos >= 30 años; Puente Aranda;18.4;568;152455;48,6;13,05%
2020;Mortalidad, enf cardio;Adultos >= 30 años; Rafael Uribe Uribe;18.4;490;201953;31,7;13,05%
2020;Mortalidad, enf cardio;Adultos >= 30 años; Puente Aranda;18.7;307;149158;27,4;13,32%
2022;Mortalidad, enf cardio;Adultos >= 30 años; Puente Aranda;18.7;503;155906;43;13,32%
2024;Mortalidad, enf cardio;Adultos >= 30 años; Fontibón;18.8;521;251085;27,8;13,41%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Puente Aranda;18.9;479;141040;45,9;13,50%
2019;Mortalidad, enf cardio;Adultos >= 30 años; Puente Aranda;18.9;423;145125;39,4;13,50%
2022;Mortalidad, enf cardio;Adultos >= 30 años; Teusaquillo;19;313;112727;37,7;13,59%
2022;Mortalidad, enf cardio;Adultos >= 30 años; Fontibón;19.1;507;237788;29,2;13,68%
2022;Mortalidad, enf cardio;Adultos >= 30 años; Barrios Unidos;19.1;333;94231;48,4;13,68%
2022;Mortalidad, enf cardio;Adultos >= 30 años; Engativá;19.2;1335;490607;37,5;13,77%
2023;Mortalidad, enf cardio;Adultos >= 30 años; Rafael Uribe Uribe;19.3;582;215535;37,4;13,86%
2024;Mortalidad, enf cardio;Adultos >= 30 años; Rafael Uribe Uribe;19.3;568;220267;35,7;13,86%
2021;Mortalidad, enf cardio;Adultos >= 30 años; Rafael Uribe Uribe;19.5;731;206660;49,7;14,04%
2020;Mortalidad, enf cardio;Adultos >= 30 años; Fontibón;19.5;318;223866;19,9;14,04%
2019;Mortalidad, enf cardio;Adultos >= 30 años; Rafael Uribe Uribe;19.7;570;196399;41,3;14,22%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Rafael Uribe Uribe;20.1;558;190470;42,7;14,58%
2024;Mortalidad, enf cardio;Adultos >= 30 años; Bosa;20.1;769;393756;28,5;14,58%
2023;Mortalidad, enf cardio;Adultos >= 30 años; Kennedy;20.2;1295;599895;31,7;14,67%
2022;Mortalidad, enf cardio;Adultos >= 30 años; Rafael Uribe Uribe;20.4;645;211203;45,3;14,85%
2024;Mortalidad, enf cardio;Adultos >= 30 años; Kennedy;20.4;1395;615559;33,6;14,85%
2021;Mortalidad, enf cardio;Adultos >= 30 años; Bosa;20.6;876;368806;35,7;15,02%
2022;Mortalidad, enf cardio;Adultos >= 30 años; Kennedy;20.7;1495;586620;38,5;15,11%
2020;Mortalidad, enf cardio;Adultos >= 30 años; Tunjuelito;21.6;212;96235;35;15,91%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Bosa;21.7;613;333126;29,4;15,99%
2020;Mortalidad, enf cardio;Adultos >= 30 años; Kennedy;21.7;979;563466;27,8;15,99%
2020;Mortalidad, enf cardio;Adultos >= 30 años; Bosa;21.8;589;354758;26,7;16,08%
2023;Mortalidad, enf cardio;Adultos >= 30 años; Bosa;21.8;792;382891;33,3;16,08%
2021;Mortalidad, enf cardio;Adultos >= 30 años; Kennedy;21.9;1546;574528;43,5;16,17%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Kennedy;22.5;1215;539808;37,6;16,69%
2024;Mortalidad, enf cardio;Adultos >= 30 años; Tunjuelito;23.2;335;103003;56,3;17,30%
2019;Mortalidad, enf cardio;Adultos >= 30 años; Kennedy;23.2;1207;551344;37,9;17,30%
2021;Mortalidad, enf cardio;Adultos >= 30 años; Tunjuelito;23.2;356;97608;63,1;17,30%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Tunjuelito;23.9;278;91513;54,4;17,90%
2023;Mortalidad, enf cardio;Adultos >= 30 años; Tunjuelito;24.3;254;101071;45,8;18,24%
2022;Mortalidad, enf cardio;Adultos >= 30 años; Tunjuelito;24.4;317;99416;58,4;18,33%
2020;Mortalidad, enf cardio;Adultos >= 30 años; Ciudad Bolívar;24.5;635;308232;37,9;18,41%
2019;Mortalidad, enf cardio;Adultos >= 30 años; Tunjuelito;24.8;266;94053;52,8;18,67%
2019;Mortalidad, enf cardio;Adultos >= 30 años; Bosa;25.1;664;343932;36,5;18,92%
2018;Mortalidad, enf cardio;Adultos >= 30 años; Ciudad Bolívar;25.3;723;287936;47,9;19,09%
2024;Mortalidad, enf cardio;Adultos >= 30 años; Ciudad Bolívar;26.2;850;342346;49,3;19,85%
